kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.000012245101470,0.003499300139972,-414.046438405845379,0.000000000000000,-16276531684630105240855658889216.000000000000000,-7234014082057823800891466055680.000000000000000,-65106126738520402949024126074880.000000000000000
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000003409812360,0.001846567724146,-420.296867767678918,0.001814095552152,-4040306164138343816381706797056.000000000000000,-2014408021820416879209970925568.000000000000000,-27971909895535644719853502201856.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000000027777778,0.000166666666667,-415.568482992534143,0.000000000000000,-36922999882914461050787069952.000000000000000,-16410222170184204178453168128.000000000000000,-147691999531657844203148279808.000000000000000
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.000000027778141,0.000166667756436,-415.568492502824768,0.000000002549338,-36923070116638813134033780736.000000000000000,-16410436771250474853488132096.000000000000000,-147702183314749418990102118400.000000000000000
RBF(length_scale=1),RBF(length_scale=1e+05),0.000000027777899,0.000166667030689,-415.568486167047240,0.000000000851636,-36923023325863974046665801728.000000000000000,-16410293854423185350073516032.000000000000000,-147695401621572554358932897792.000000000000000
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000027777890,0.000166667002672,-415.568486048377565,0.000000000783881,-36923022449481391007713984512.000000000000000,-16410288337286078098638372864.000000000000000,-147695121223820370783913377792.000000000000000
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.000012250000000,0.003500000000000,-414.046438440166639,0.000000000000000,-16283042948365221169139244072960.000000000000000,-7236907977051209033206361751552.000000000000000,-65132171793460893683756231032832.000000000000000
1**2 * 1**2,0.00316**2 * 0.00316**2,0.000012249999951,0.003499999993000,-414.046338441338946,0.000000000000000,-16283042883233046465399543037952.000000000000000,-7236907948103575956644262051840.000000000000000,-65132171532932194868797426892800.000000000000000
1**2 + 1**2,0.00316**2 + 0.00316**2,0.000012240205877,0.003498600559776,-414.046538351369350,0.000000000000000,-16270024325700768280893242474496.000000000000000,-7231121922533676292707983556608.000000000000000,-65080097302803073123572969897984.000000000000000
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000003189233467,0.001785842509010,-414.698637193519744,0.001322035604569,-4941053354641760184540703227904.000000000000000,-1884097070850797265905573167104.000000000000000,-2920174733107846979237026201600.000000000000000
