kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.000012230423495,0.003497202238209,-1656.185753209755148,0.000000000000000,-16257021309775948494819911794688.000000000000000,-7225342804344865747497759277056.000000000000000,-16257021309775948494819911794688.000000000000000
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000003631696451,0.001905701039243,-1664.512241974989138,0.001893246229785,-4063132811324020355923487752192.000000000000000,-2145490042145226944274881314816.000000000000000,-7884231728837720643867301117952.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000000001867093,0.000043209876543,-1658.382094388075302,0.000000000000000,-2481792859071045559140745216.000000000000000,-1103019048476020263777992704.000000000000000,-2481792859071045559140745216.000000000000000
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.000000001868931,0.000043231134783,-1658.382722589097284,0.000000048448320,-2481871684702373314885058560.000000000000000,-1104104634153326117784649728.000000000000000,-2493690395415427798920069120.000000000000000
RBF(length_scale=1),RBF(length_scale=1e+05),0.000000001867711,0.000043217020749,-1658.382305040289111,0.000000016295273,-2481819097294724027538997248.000000000000000,-1103383819093682920714403840.000000000000000,-2485791575625036541722624000.000000000000000
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000001867377,0.000043213161586,-1658.382236284603096,0.000000007510527,-2481810493034838571071045632.000000000000000,-1103186769482176641261109248.000000000000000,-2483609184535132689385127936.000000000000000
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.000012250000000,0.003500000000000,-1656.185753760666557,0.000000000000000,-16283042948365221169139244072960.000000000000000,-7236907977051209033206361751552.000000000000000,-16283042948365221169139244072960.000000000000000
1**2 * 1**2,0.00316**2 * 0.00316**2,0.000012249999804,0.003499999972000,-1656.185353765352829,0.000000000000000,-16283042687836531361379694673920.000000000000000,-7236907861260680104657683480576.000000000000000,-16283042687836531361379694673920.000000000000000
1**2 + 1**2,0.00316**2 + 0.00316**2,0.000012210893880,0.003494408945687,-1656.186152339290857,0.000000000000000,-16231061998451461977288814362624.000000000000000,-7213805332645093086228455096320.000000000000000,-16231061998451461977288814362624.000000000000000
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000003598803218,0.001897051190227,-1658.758697034780198,0.001882238253601,-4063545949635081088242385158144.000000000000000,-2126057772950462848103857782784.000000000000000,-7663966147152383040042580312064.000000000000000
