kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.000012247427905,0.003499632538583,-217.374380171669884,0.000000000000000,-16279624047832324589640094842880.000000000000000,-7235388465703255248073385836544.000000000000000,-7235388465703255248073385836544.000000000000000
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000003210798658,0.001791870156642,-222.661748501662657,0.001723738139100,-4012882628277684618599507951616.000000000000000,-1896837095729883116697368395776.000000000000000,-2690173033419398450780626223104.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000000092627599,0.000304347826087,-218.595442478753938,0.000000000000000,-123123198097279270952240152576.000000000000000,-54721421376568574641098981376.000000000000000,-54721421376568460291889692672.000000000000000
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.000000092627744,0.000304348064210,-218.595443798875237,0.000000000570894,-123123260016649490725263638528.000000000000000,-54721507005268168147757694976.000000000000000,-54721913768124667299039805440.000000000000000
RBF(length_scale=1),RBF(length_scale=1e+05),0.000000092627648,0.000304347905542,-218.595442919114987,0.000000000190509,-123123218752026285289559293952.000000000000000,-54721449948371266118294175744.000000000000000,-54721585691777180783528116224.000000000000000
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000092627647,0.000304347903975,-218.595442914353839,0.000000000186294,-123123218528707697942022062080.000000000000000,-54721449384879253464488607744.000000000000000,-54721581878610145022320836608.000000000000000
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.000012250000000,0.003500000000000,-217.374380181087474,0.000000000000000,-16283042948365223420939057758208.000000000000000,-7236907977051209033206361751552.000000000000000,-7236907977051209033206361751552.000000000000000
1**2 * 1**2,0.00316**2 * 0.00316**2,0.000012249999974,0.003499999996325,-217.374327681702994,0.000000000000000,-16283042914170830350395826503680.000000000000000,-7236907961853702878353659265024.000000000000000,-7236907961853702878353659265024.000000000000000
1**2 + 1**2,0.00316**2 + 0.00316**2,0.000012244856620,0.003499265154318,-217.374432656651777,0.000000000000000,-16276206223970462556180103299072.000000000000000,-7233869432875760385480108015616.000000000000000,-7233869432875760385480108015616.000000000000000
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000007274040924,0.002697042996350,-217.539471062448797,0.000484903363068,-10350749575598061281539178627072.000000000000000,-4297270595058795755553383514112.000000000000000,-2175832747498622055718884212736.000000000000000
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000003210632481,0.001791823786395,-222.661761440485094,0.001723693531982,-4012674939178472119470817017856.000000000000000,-1896738923810692387787902025728.000000000000000,-2690033801928499074942397054976.000000000000000
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=320, periodicity=6.51e+03)",0.000012247427905,0.003499632538587,-217.374380171669884,0.000000000000002,-16279624047860854893279486935040.000000000000000,-7235388465718262367931691171840.000000000000000,-7235388465734564272682865524736.000000000000000
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=0.983, periodicity=1)",0.000000092625908,0.000304345047303,-218.595447044003038,0.000000000000045,-123120949796269739040011452416.000000000000000,-54720422136237480442748469248.000000000000000,-54720422168171643383316480000.000000000000000
