kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.000213397171011,0.014608120036854,-217.375328848488266,0.014150456873413,-0.011376912931232,-0.065731330877861,-54.264201535241483
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000221083924387,0.014868891161996,-222.662741082039474,0.014155353352015,-0.006833775061674,-0.104119908696728,-64.736406370209068
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000205446525925,0.014333405942934,-218.596439463845400,0.014150456873413,-0.000086043873031,-0.026024845881338,-46.742387381640590
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.000205446540028,0.014333406434896,-218.596440783666822,0.014150456819760,-0.000085445483109,-0.026024916313232,-46.742528735799453
RBF(length_scale=1),RBF(length_scale=1e+05),0.000205446530641,0.014333406107457,-218.596439904106376,0.014150456855834,-0.000085844204536,-0.026024869435293,-46.742434561201016
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000205446530171,0.014333406091043,-218.596439899347274,0.014150456844648,-0.000085848225198,-0.026024867085449,-46.742433145468212
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.000213398293448,0.014608158455063,-217.375328851401719,0.014150456873413,-0.011379302208378,-0.065736936464652,-54.265098809296930
1**2 * 1**2,0.00316**2 * 0.00316**2,0.000213398293437,0.014608158454679,-217.375276352965955,0.014150456873413,-0.011379302184482,-0.065736936408589,-54.265098800323216
1**2 + 1**2,0.00316**2 + 0.00316**2,0.000213396048858,0.014608081628249,-217.375381339024528,0.014150456873413,-0.011374524406511,-0.065725726706933,-54.263304456989985
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000215331755649,0.014674186711667,-217.540432085748535,0.014149840497035,-0.009181661792216,-0.075392880985905,-57.117553025643168
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000221083712781,0.014868884046268,-222.662754018402126,0.014155356647782,-0.006828044224717,-0.104118851911027,-64.737330250620261
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=0.00318, periodicity=1e+05)",0.000213397640144,0.014608136094110,-217.375328848070353,0.014150456168110,-0.011373998231432,-0.065733673784441,-54.265386612517226
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=2.29e+03, periodicity=1.78e+03)",0.000205446520691,0.014333405760369,-218.596444039453843,0.014150456872878,-0.000086037594618,-0.026024819744318,-46.742382191514693
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=101, nu=1.5)",0.000213397436182,0.014608129113010,-217.375328848212604,0.014150456148719,-0.011375022167103,-0.065732655175052,-54.264921740914055
