kernel_str,learned_kernel,mse,rmse,lml,std,R2_tr,R2,R2_test
1**2,0.00316**2,0.000000999790033,0.000999895011024,-217.374321115370776,0.000000000000000,-5315795607455450192901073534976.000000000000000,-5315795607455450192901073534976.000000000000000,-5315795607455450192901073534976.000000000000000
DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05),0.000000262106013,0.000511962901898,-222.661733944838375,0.000492496611171,-1310329021478199854118685638656.000000000000000,-1393594600944281676165834342400.000000000000000,-1976453657204591090208144883712.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1)",0.000000007561437,0.000086956521739,-218.595437342884367,0.000000000000000,-40203493256254554911820218368.000000000000000,-40203493256254546115727196160.000000000000000,-40203493256254546115727196160.000000000000000
"Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5)",0.000000007561449,0.000086956589774,-218.595438663004387,0.000000000163113,-40203513474824321347981672448.000000000000000,-40203556167135790903104372736.000000000000000,-40203855013316104177242341376.000000000000000
RBF(length_scale=1),RBF(length_scale=1e+05),0.000000007561441,0.000086956544441,-218.595437783244989,0.000000000054431,-40203500000661641663013191680.000000000000000,-40203514247782965999346647040.000000000000000,-40203613977632209965401767936.000000000000000
"RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000007561441,0.000086956543993,-218.595437778483870,0.000000000053227,-40203499927741256452722917376.000000000000000,-40203513833788804993220870144.000000000000000,-40203611176121653572799561728.000000000000000
WhiteKernel(noise_level=1),WhiteKernel(noise_level=1e-05),0.000001000000000,0.001000000000000,-217.374321118646549,0.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000
1**2 * 1**2,0.00316**2 * 0.00316**2,0.000000999999998,0.000999999998950,-217.374268619203065,0.000000000000000,-5316911971974147651853824819200.000000000000000,-5316911971974146525953917976576.000000000000000,-5316911971974146525953917976576.000000000000000
1**2 + 1**2,0.00316**2 + 0.00316**2,0.000000999580132,0.000999790044091,-217.374373606552297,0.000000000000000,-5314679583337294217581231603712.000000000000000,-5314679583337294217581231603712.000000000000000,-5314679583337294217581231603712.000000000000000
1**2 * DotProduct(sigma_0=1),0.00316**2 * DotProduct(sigma_0=1e-05),0.000000593799259,0.000770583713243,-217.539424519803958,0.000138543818020,-3379836596113652720803604594688.000000000000000,-3157178396369727310055562280960.000000000000000,-1598570998162252812518986612736.000000000000000
1**2 + DotProduct(sigma_0=1),0.00316**2 + DotProduct(sigma_0=1e-05),0.000000262092447,0.000511949653256,-222.661746884037541,0.000492483866280,-1310261204629279637658333609984.000000000000000,-1393522474635675091398738051072.000000000000000,-1976351364681967736055434051584.000000000000000
"1**2 * ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 * ExpSineSquared(length_scale=1.49e+04, periodicity=822)",0.000000999790033,0.000999895011024,-217.374321115370776,0.000000000000000,-5315795607455713653479274708992.000000000000000,-5315795607455760941275362099200.000000000000000,-5315795607456091955847973830656.000000000000000
"1**2 + ExpSineSquared(length_scale=1, periodicity=1)","0.00316**2 + ExpSineSquared(length_scale=0.984, periodicity=1)",0.000000007561299,0.000086955727797,-218.595441908097655,0.000000000000003,-40202759115882682022616891392.000000000000000,-40202759116558635383094509568.000000000000000,-40202759121290282518158770176.000000000000000
"1**2 * Matern(length_scale=1, nu=1.5)","0.00316**2 * Matern(length_scale=1e+05, nu=1.5)",0.000000999790033,0.000999895011058,-217.374321115370776,0.000000000000019,-5315795607762853518566408323072.000000000000000,-5315795607819300510395963277312.000000000000000,-5315795608214439586302009540608.000000000000000
"1**2 + Matern(length_scale=1, nu=1.5)","0.00316**2 + Matern(length_scale=1e+05, nu=1.5)",0.000000007561310,0.000086955795830,-218.595443228197894,0.000000000163111,-40202779333578618189673136128.000000000000000,-40202822025110507612423585792.000000000000000,-40203120865833715979490689024.000000000000000
1**2 * RBF(length_scale=1),0.00316**2 * RBF(length_scale=1e+05),0.000000999790033,0.000999895011035,-217.374321115370776,0.000000000000006,-5315795607557993778716579201024.000000000000000,-5315795607576831210057963143168.000000000000000,-5315795607708694355347557580800.000000000000000
1**2 + RBF(length_scale=1),0.00316**2 + RBF(length_scale=1e+05),0.000000007561303,0.000086955750497,-218.595442348437757,0.000000000054431,-40202765859784996179637436416.000000000000000,-40202780106646158472653045760.000000000000000,-40202879834674329708134400000.000000000000000
"1**2 * RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 * RationalQuadratic(alpha=0.81, length_scale=5.35e+03)",0.000000999790041,0.000999895015007,-217.374321115370975,0.000000000002184,-5315795643233212065035782717440.000000000000000,-5315795649805219299765465907200.000000000000000,-5315795695809275572372782448640.000000000000000
"1**2 + RationalQuadratic(alpha=1, length_scale=1)","0.00316**2 + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000007561302,0.000086955750049,-218.595442343676609,0.000000000053226,-40202765786866686847300403200.000000000000000,-40202779692660309774433255424.000000000000000,-40202877033215643876084154368.000000000000000
1**2 * WhiteKernel(noise_level=1),0.00316**2 * WhiteKernel(noise_level=1e-05),0.000001000000000,0.001000000000000,-217.374268619203065,0.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000
1**2 + WhiteKernel(noise_level=1),0.00316**2 + WhiteKernel(noise_level=1e-05),0.000000999790033,0.000999895011129,-217.374373615286800,0.000000000000000,-5315795608571648220246434643968.000000000000000,-5315795608571649346146341486592.000000000000000,-5315795608571649346146341486592.000000000000000
DotProduct(sigma_0=1) * DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) * DotProduct(sigma_0=1e-05),0.000000493874468,0.000702762028098,-227.064994381525025,0.000647909607494,-2348915457384767327536297279488.000000000000000,-2625887077797738856747800461312.000000000000000,-4564688415366011007116309954560.000000000000000
DotProduct(sigma_0=1) + DotProduct(sigma_0=1),DotProduct(sigma_0=1e-05) + DotProduct(sigma_0=1e-05),0.000000262109137,0.000511965952844,-223.008301148071439,0.000492502902358,-1310329018839910127611756412928.000000000000000,-1393611210720766935572232011776.000000000000000,-1976586553882210607647359500288.000000000000000
"DotProduct(sigma_0=1) * ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) * ExpSineSquared(length_scale=1e+05, periodicity=1e+05)",0.000000262106013,0.000511962901895,-222.661733944841018,0.000492496611169,-1310329021468756650125019840512.000000000000000,-1393594600929778115040864370688.000000000000000,-1976453657158388380155974254592.000000000000000
"DotProduct(sigma_0=1) + ExpSineSquared(length_scale=1, periodicity=1)","DotProduct(sigma_0=1e-05) + ExpSineSquared(length_scale=1.84e+04, periodicity=7.85e+03)",0.000000020361098,0.000142692319780,-223.300513742986055,0.000137266750523,-101789873052367390081185480704.000000000000000,-108258166606114282402205401088.000000000000000,-153536221482229305339962982400.000000000000000
"DotProduct(sigma_0=1) * Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) * Matern(length_scale=1e+05, nu=1.5)",0.000000260058284,0.000509959100500,-222.664176669267533,0.000490382840009,-1303118689652926564343346102272.000000000000000,-1382707007485582336725887221760.000000000000000,-1939825232314173024878651768832.000000000000000
"DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)","DotProduct(sigma_0=1e-05) + Matern(length_scale=1e+05, nu=1.5)",0.000000020361069,0.000142692217428,-223.300513947679235,0.000137266638294,-101789789846643353995848974336.000000000000000,-108258011301498903493387223040.000000000000000,-153535561485563378783959908352.000000000000000
DotProduct(sigma_0=1) * RBF(length_scale=1),DotProduct(sigma_0=1e-05) * RBF(length_scale=1e+05),0.000000261419010,0.000511291511599,-222.662549953544982,0.000491788471375,-1307911812367101590753337409536.000000000000000,-1389941866003236426449258807296.000000000000000,-1964152241455425641908147322880.000000000000000
DotProduct(sigma_0=1) + RBF(length_scale=1),DotProduct(sigma_0=1e-05) + RBF(length_scale=1e+05),0.000000020361088,0.000142692285617,-223.300513811186477,0.000137266713061,-101789845288755372576181583872.000000000000000,-108258114768030770651342045184.000000000000000,-153536001122932221674956783616.000000000000000
"DotProduct(sigma_0=1) * RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000261430694,0.000511302937174,-222.662544839535599,0.000491801093382,-1307943390426714848935505035264.000000000000000,-1390003987364598008088232984576.000000000000000,-1964428165930301976764150185984.000000000000000
"DotProduct(sigma_0=1) + RationalQuadratic(alpha=1, length_scale=1)","DotProduct(sigma_0=1e-05) + RationalQuadratic(alpha=3.44e+03, length_scale=1e+05)",0.000000020361088,0.000142692285617,-223.300513811186534,0.000137266713061,-101789845288699429424560340992.000000000000000,-108258114767964395333396463616.000000000000000,-153536001122835376690782273536.000000000000000
DotProduct(sigma_0=1) * WhiteKernel(noise_level=1),DotProduct(sigma_0=1e-05) * WhiteKernel(noise_level=1e-05),0.000001000000000,0.001000000000000,-217.569321108818599,0.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000
DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),DotProduct(sigma_0=1e-05) + WhiteKernel(noise_level=1e-05),0.000000262106013,0.000511962901892,-222.661785944822782,0.000492496611159,-1310329021478578437962361470976.000000000000000,-1393594600911544447524524785664.000000000000000,-1976453656941666158887651246080.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1) * ExpSineSquared(length_scale=1, periodicity=1)",0.000000007561437,0.000086956521739,-218.595437342884367,0.000000000000000,-40203493256254554911820218368.000000000000000,-40203493256254546115727196160.000000000000000,-40203493256254546115727196160.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)","ExpSineSquared(length_scale=1, periodicity=1) + ExpSineSquared(length_scale=1, periodicity=1)",0.000000002066116,0.000045454545455,-218.919784833993560,0.000000000000000,-10985355337065321347541893120.000000000000000,-10985355337065321347541893120.000000000000000,-10985355337065301556332593152.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=1, periodicity=1) * Matern(length_scale=7.38e+04, nu=1.5)",0.000000007561458,0.000086956646524,-218.595439764389653,0.000000000299159,-40203530343500919565702922240.000000000000000,-40203608642836439806664245248.000000000000000,-40204156738185055105114439680.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1) + Matern(length_scale=1, nu=1.5)","ExpSineSquared(length_scale=1e+05, periodicity=3.37) + Matern(length_scale=1e+05, nu=1.5)",0.000000002066118,0.000045454575566,-218.919786214620189,0.000000000085263,-10985358225980734354522898432.000000000000000,-10985369891387779956955152384.000000000000000,-10985451549237101373004185600.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1) * RBF(length_scale=1)","ExpSineSquared(length_scale=7.01e+03, periodicity=0.105) * RBF(length_scale=1e+05)",0.000000007561441,0.000086956546055,-218.595437880650564,0.000000000054432,-40203501492488306903721443328.000000000000000,-40203515740948634092546555904.000000000000000,-40203615480170924414322343936.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1)","ExpSineSquared(length_scale=1, periodicity=1) + RBF(length_scale=1e+05)",0.000000002066117,0.000045454555502,-218.919785294370598,0.000000000028453,-10985356300383498234230734848.000000000000000,-10985360193321089952028557312.000000000000000,-10985387443884218782473781248.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1) * RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=1e+05, periodicity=1e+05) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000007561441,0.000086956543993,-218.595437778483870,0.000000000053227,-40203499927741326821467095040.000000000000000,-40203513833788936934616203264.000000000000000,-40203611176122225318846005248.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1) + RationalQuadratic(alpha=1, length_scale=1)","ExpSineSquared(length_scale=1.61e+04, periodicity=288) + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000002066117,0.000045454555416,-218.919785296459111,0.000000000028181,-10985356304753546781245046784.000000000000000,-10985360151825584891436728320.000000000000000,-10985387081329847264731987968.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=1, periodicity=1) * WhiteKernel(noise_level=1e-05)",0.000001000000000,0.001000000000000,-217.374321118646549,0.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000
"ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1)","ExpSineSquared(length_scale=1, periodicity=1) + WhiteKernel(noise_level=1e-05)",0.000000007561450,0.000086956601134,-218.595489386336567,0.000000000000000,-40203566671356437133116047360.000000000000000,-40203566671356437133116047360.000000000000000,-40203566671356393152650936320.000000000000000
"Matern(length_scale=1, nu=1.5) * Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5) * Matern(length_scale=1e+05, nu=1.5)",0.000000007561460,0.000086956657810,-218.595439983119149,0.000000000326225,-40203533693553666503752024064.000000000000000,-40203619078327432221049225216.000000000000000,-40204216771743809834315677696.000000000000000
"Matern(length_scale=1, nu=1.5) + Matern(length_scale=1, nu=1.5)","Matern(length_scale=1e+05, nu=1.5) + Matern(length_scale=1e+05, nu=1.5)",0.000000002066121,0.000045454605672,-218.919787594240347,0.000000000170527,-10985361112840093602911617024.000000000000000,-10985384443706383022793162752.000000000000000,-10985547759770415559033749504.000000000000000
"Matern(length_scale=1, nu=1.5) * RBF(length_scale=1)","Matern(length_scale=9.82e+04, nu=1.5) * RBF(length_scale=4.14e+04)",0.000000007561472,0.000086956725064,-218.595441287329720,0.000000000487493,-40203553668931471987487801344.000000000000000,-40203681266980293797902024704.000000000000000,-40204574453322055266894610432.000000000000000
"Matern(length_scale=1, nu=1.5) + RBF(length_scale=1)","Matern(length_scale=7.09e+04, nu=1.5) + RBF(length_scale=1e+05)",0.000000002066122,0.000045454615456,-218.919788042931032,0.000000000198231,-10985362051737552087718821888.000000000000000,-10985389172780133112476598272.000000000000000,-10985579020078204683827544064.000000000000000
"Matern(length_scale=1, nu=1.5) * RationalQuadratic(alpha=1, length_scale=1)","Matern(length_scale=1e+05, nu=1.5) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000007561452,0.000086956612028,-218.595439098602128,0.000000000216339,-40203520146363333254087442432.000000000000000,-40203576744771345587841794048.000000000000000,-40203972933627361555378077696.000000000000000
"Matern(length_scale=1, nu=1.5) + RationalQuadratic(alpha=1, length_scale=1)","Matern(length_scale=1e+05, nu=1.5) + RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000002066119,0.000045454585396,-218.919786669517123,0.000000000113087,-10985359177848210121459499008.000000000000000,-10985374643013080880324280320.000000000000000,-10985482899167160799214960640.000000000000000
"Matern(length_scale=1, nu=1.5) * WhiteKernel(noise_level=1)","Matern(length_scale=1, nu=1.5) * WhiteKernel(noise_level=1e-05)",0.000001000000000,0.001000000000000,-217.374321118646549,0.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000
"Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1)","Matern(length_scale=1e+05, nu=1.5) + WhiteKernel(noise_level=1e-05)",0.000000007561462,0.000086956669169,-218.595490706455166,0.000000000163113,-40203586889961255999971000320.000000000000000,-40203629582307989092019732480.000000000000000,-40203928428735147124639924224.000000000000000
RBF(length_scale=1) * RBF(length_scale=1),RBF(length_scale=1e+05) * RBF(length_scale=1e+05),0.000000007561445,0.000086956567142,-218.595438223605044,0.000000000108862,-40203506745086461337738936320.000000000000000,-40203535239345901751985242112.000000000000000,-40203734699161984651709382656.000000000000000
RBF(length_scale=1) + RBF(length_scale=1),RBF(length_scale=1e+05) + RBF(length_scale=3.33e+04),0.000000002066125,0.000045454646313,-218.919789455521993,0.000000000285625,-10985365007657148715787878400.000000000000000,-10985404087605852885317844992.000000000000000,-10985677647246760081795055616.000000000000000
"RBF(length_scale=1) * RationalQuadratic(alpha=1, length_scale=1)","RBF(length_scale=1e+05) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000007561444,0.000086956566694,-218.595438218843867,0.000000000107658,-40203506672165821040751017984.000000000000000,-40203534825351045854510710784.000000000000000,-40203731897647619550828560384.000000000000000
"RBF(length_scale=1) + RationalQuadratic(alpha=1, length_scale=1)","RBF(length_scale=1e+05) + RationalQuadratic(alpha=5.42e+03, length_scale=1e+05)",0.000000002066118,0.000045454565548,-218.919785754746954,0.000000000056905,-10985357263705736716872581120.000000000000000,-10985365049585170864421208064.000000000000000,-10985419550741207698238341120.000000000000000
RBF(length_scale=1) * WhiteKernel(noise_level=1),RBF(length_scale=1) * WhiteKernel(noise_level=1e-05),0.000001000000000,0.001000000000000,-217.374321118646549,0.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000,-5316911983139664376914828591104.000000000000000
RBF(length_scale=1) + WhiteKernel(noise_level=1),RBF(length_scale=1e+05) + WhiteKernel(noise_level=1e-05),0.000000007561454,0.000086956623836,-218.595489826696735,0.000000000054431,-40203573415775108338819268608.000000000000000,-40203587662908201847616438272.000000000000000,-40203687392839838817010581504.000000000000000
"RationalQuadratic(alpha=1, length_scale=1) * RationalQuadratic(alpha=1, length_scale=1)","RationalQuadratic(alpha=1e-05, length_scale=1e+05) * RationalQuadratic(alpha=1e-05, length_scale=1e+05)",0.000000007561444,0.000086956566247,-218.595438214082776,0.000000000106454,-40203506599245145559391010816.000000000000000,-40203534411356154772664090624.000000000000000,-40203729096133263246040760320.000000000000000
