Data,Casos_Acumulados
2021-04-12,2286
2021-04-13,2290
2021-04-14,2295
2021-04-15,2306
2021-04-16,2312
2021-04-17,2316
2021-04-18,2317
2021-04-19,2320
2021-04-20,2323
2021-04-21,2324
2021-04-22,2327
2021-04-23,2329
2021-04-24,2332
2021-04-26,2339
2021-04-27,2341
2021-04-29,2346
2021-04-30,2350
2021-05-01,2351
2021-05-02,2352
2021-05-03,2357
2021-05-04,2362
2021-05-05,2369
2021-05-06,2382
2021-05-07,2387
2021-05-09,2392
2021-05-10,2398
2021-05-11,2406
2021-05-12,2418
2021-05-13,2426
2021-05-14,2431
2021-05-15,2435
2021-05-17,2442
2021-05-18,2445
2021-05-19,2451
2021-05-20,2469
2021-05-21,2472
2021-05-22,2477
2021-05-23,2478
2021-05-24,2483
2021-05-25,2495
2021-05-26,2508
2021-05-27,2526
2021-05-28,2540
2021-05-29,2553
2021-05-30,2557
2021-05-31,2575
2021-06-01,2594
2021-06-02,2614
2021-06-03,2619
2021-06-04,2623
2021-06-05,2628
2021-06-06,2632
2021-06-07,2645
2021-06-08,2653
2021-06-09,2661
2021-06-10,2671
2021-06-11,2683
2021-06-12,2692
2021-06-13,2697
2021-06-14,2709
2021-06-15,2733
2021-06-16,2735
2021-06-17,2753
2021-06-18,2758
2021-06-19,2762
2021-06-20,2773
2021-06-21,2788
2021-06-22,2798
2021-06-23,2805
2021-06-24,2809
2021-06-25,2812
2021-06-26,2819
2021-06-27,2822
2021-06-28,2830
2021-06-30,2835
2021-07-01,2836
